"Address Line 1 Start","Gatuadress 1 början"
"Address Line 1 End","Gatuadress 1 slut"
"Address Line 2","Gatuadress rad 2"
"Address Line 1","Gatuadress"
"API Key","API nyckel"
"Street Number Placement","Gatunummer placering"
"Restrict the search to a specific countries","Begränsa sökningen till ett specifikt land"
