"Address Line 1 Start","Katuosoite 1 alku"
"Address Line 1 End","Katuosoite 1 loppu"
"Address Line 2","Katuosoite rivi 2"
"Address Line 1","Katuosoite"
"API Key","API Avain"
"Street Number Placement","Street Number Placement"
"Restrict the search to a specific countries","Restrict the search to a specific countries"
